c P_norm(rated),FC,FC_el,CO2
[-],[g/h/kWrated],[kWh/h/kWrated],[g/h/kWrated]
Pdrive (Engine) = 22.6394794789044,Extrapolation: Pe: -0.2
idle,10.187415005433,0,31.6239293396444
-0.2,0,0,0
-0.1,0.617046647968289,0,1.91544563406978
0,10.7246402524188,0,33.2915921609873
0.1,39.5590345635364,0,122.799759616611
0.2,60.5563607943913,0,187.979980574714
0.3,82.0846995394687,0,254.808578694175
0.4,109.07415820496,0,338.589668725118
0.5,137.832314538108,0,427.861177084491
0.6,164.767232376499,0,511.472960646478
0.7,192.872205769555,0,598.716848541551
0.8,225.10213494638,0,698.765487216434
0.9,257.697439234168,0,799.948328894279
1,279.482841268113,0,867.574906803375
